Combined_Rank,Neighborhood,Combined_Score,Higher_Ed_Rate_Pct,Green_Space_Count,Education_Score,GreenSpace_Score
32,Beltzhoover,18.274162616874655,9.073958980733376,3.0,11.548325233749306,25.0
33,Lower Lawrenceville,17.896725763796628,8.480825958702065,3.0,10.793451527593255,25.0
34,Garfield,17.58151575745541,7.985480943738657,3.0,10.163031514910818,25.0
35,Manchester,17.010549005003853,7.088220295767465,3.0,9.021098010007703,25.0
36,Upper Lawrenceville,17.000114808410537,7.07182320441989,3.0,9.000229616821073,25.0
37,Swisshelm Park,16.764912692091286,6.7022086824067015,3.0,8.529825384182574,25.0
38,Carrick,16.57604702207739,6.4054107817783965,3.0,8.15209404415478,25.0
39,Westwood,16.475957548884796,6.2481225593271255,3.0,7.951915097769594,25.0
40,Brookline,16.25382642338916,5.89904878797177,3.0,7.5076528467783215,25.0
41,Highland Park,15.728332511108764,11.621065019123272,2.0,14.789998355550862,16.666666666666664
42,Central Northside,15.402033100743514,4.560475875743556,3.0,5.804066201487028,25.0
43,Spring Hill-City View,14.5518641411752,3.2244556113902845,3.0,4.1037282823504,25.0
44,Homewood North,14.483488712739787,9.66482264887732,2.0,12.300310758812909,16.666666666666664
45,Fairywood,14.092315257032734,15.59792027729636,1.0,19.851297180732136,8.333333333333332
46,Larimer,13.692400424035233,1.8738288569643973,3.0,2.3848008480704648,25.0
47,Allentown,13.358433633560857,7.896825396825396,2.0,10.050200600455051,16.666666666666664
48,Upper Hill,13.320027678283623,14.384288747346073,1.0,18.306722023233913,8.333333333333332
49,Perry North,13.279707557323182,7.773109243697479,2.0,9.8927484479797,16.666666666666664
50,Duquesne Heights,13.078590811907727,7.457059069962296,2.0,9.490514957148791,16.666666666666664
51,Fineview,12.915424596018235,7.200647249190939,2.0,9.164182525369807,16.666666666666664
52,North Shore,12.5,0.0,3.0,0.0,25.0
53,Perry South,11.973480021929602,5.720403793208932,2.0,7.280293377192539,16.666666666666664
54,Esplen,11.786324047311226,11.97411003236246,1.0,15.239314761289119,8.333333333333332
55,Crafton Heights,11.693840747595582,5.28095733610822,2.0,6.721014828524499,16.666666666666664
56,East Carnegie,11.332225001960069,11.260504201680671,1.0,14.331116670586807,8.333333333333332
57,Polish Hill,11.116455439929428,4.373610081541883,2.0,5.566244213192192,16.666666666666664
58,Strip District,10.797149946040577,3.871829105473965,2.0,4.927633225414491,16.666666666666664
59,Morningside,10.735382637007852,10.32258064516129,1.0,13.13743194068237,8.333333333333332
60,Stanton Heights,10.58823654197846,10.09134406263593,1.0,12.843139750623589,8.333333333333332
61,Lincoln Place,10.35848764572228,3.182481751824817,2.0,4.050308624777895,16.666666666666664
62,Banksville,10.349277552353584,3.1680083095299927,2.0,4.031888438040504,16.666666666666664
63,Arlington,9.70306764730802,8.700322234156822,1.0,11.072801961282707,8.333333333333332
64,Spring Garden,8.777294514468311,0.6976744186046512,2.0,0.8879223622699568,16.666666666666664
65,Central Lawrenceville,8.52247746685013,6.845052893590542,1.0,8.711621600366929,8.333333333333332
66,East Hills,8.415187336221987,6.676449009537784,1.0,8.49704133911064,8.333333333333332
67,Windgap,8.182233134369604,6.310367031551835,1.0,8.031132935405877,8.333333333333332
68,Middle Hill,7.970698532108375,5.977945443993035,1.0,7.608063730883417,8.333333333333332
69,Regent Square,7.698409396012646,5.550049554013875,1.0,7.063485458691959,8.333333333333332
70,Homewood South,7.633468445813135,5.44799639801891,1.0,6.933603558292939,8.333333333333332
71,Ridgemont,7.12154337488479,11.1913357400722,0.0,14.24308674976958,0.0
72,New Homestead,6.856369630037687,4.22680412371134,1.0,5.379405926742041,8.333333333333332
