Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Morningside,52,2588.0,324.496533109,496.0,131.704214055,30.0,30.1496268634,0.0,20.0,22.0,28.0000000001,21.0,29.5972971739,32.0,29.4957624075,19.0,25.0,21.0,27.3678643668,10.0,22.9128784748,53.0,52.0480547187,19.0,25.4950975679,19.0,27.2213151776,4.0,18.6815416922,8.0,21.0713075057,0.0,20.0,108.0,56.7186036499,130.0,62.0966987851,2092.0,255.81634037
Mount Oliver Borough,53,1946.0,346.431811472,523.0,192.784854177,11.0,22.9128784748,27.0,35.6230262612,10.0,22.9128784748,53.0,60.5722708836,16.0,24.269322199,29.0,30.7408522979,10.0,23.5796522451,26.0,44.5084261685,6.0,20.0,0.0,20.0,74.0,64.9461315246,33.0,36.3868107973,8.0,21.0713075057,65.0,50.5667875191,96.0,60.7618301239,59.0,51.1957029447,1423.0,245.102019576
Mount Washington,54,7380.0,521.929113961,1210.0,227.04404859,51.0,40.8166632639,56.0,45.2879674969,36.0,43.6004587132,39.0,35.860842154,14.0,35.8329457343,38.0,38.8200978874,41.0,57.4195088798,15.0,32.8176781629,20.0,34.3656805548,0.0,29.9999999999,41.0,36.0277670693,60.0,55.335341329,50.0,43.5889894354,36.0,34.3802268753,360.0,159.668406393,353.0,117.554242799,6170.0,447.003355692
Mt. Oliver,55,334,70,25,19,3,6,0,10,0,10,0,10,4,6,0,10,0,10,0,10,7,9,0,10,0,10,0,10,0,10,0,10,11,11,0,10,309,72
New Homestead,56,820,97,205,48,10,15,7,11,14,17,12,16,20,18,11,15,0,10,0,10,4,6,27,19,16,16,20,27,21,18,16,14,23,29,4,7,615,64
North Oakland,57,6715.0,510.592792742,4959.0,447.642714673,0.0,24.4948974278,0.0,24.4948974278,34.0,60.2992537268,0.0,24.4948974278,34.0,59.3717104352,18.0,27.4954541697,21.0,28.7054001888,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,4.0,23.1516738056,4.0,23.1516738056,0.0,24.4948974278,4649.0,430.481126183,195.0,80.0687204844,1756.0,245.786492713
North Shore,58,184.0,59.8414572015,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,184.0,59.8414572015
Northview Heights,59,41,40,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,36,37
Oakwood,60,911,125,116,46,17,19,13,19,11,16,10,16,0,10,0,10,5,7,11,12,0,10,6,9,0,10,6,9,0,10,5,8,32,22,0,10,795,97
Overbrook,61,3356.0,296.823179689,590.0,135.81973347,15.0,19.0262975904,40.0,35.3270434653,22.0,21.0713075057,21.0,26.5518360947,22.0,21.4242852856,4.0,18.4661853127,36.0,33.5111921602,40.0,44.0681290731,20.0,23.3452350598,27.0,21.8632111091,49.0,43.8063922276,29.0,27.8567765544,52.0,41.5331193146,45.0,38.0919939095,139.0,85.6854713472,29.0,25.8650343128,2766.0,230.545006453
Perry North,62,2316.0,274.056563505,480.0,136.011028965,44.0,36.8917334914,0.0,24.4948974278,19.0,25.3968501983,20.0,23.8746727726,5.0,24.1039415864,32.0,32.8024389337,19.0,28.7054001889,4.0,23.4307490277,21.0,24.8596057893,18.0,23.6008474424,12.0,24.3515913238,9.0,25.8650343127,9.0,25.8650343127,26.0,27.3130005675,169.0,69.9999999999,73.0,36.7831483154,1836.0,204.345296007
Perry South,63,1166.0,213.873794561,208.0,86.6660256386,15.0,35.0570962859,36.0,32.8024389337,26.0,35.7910603364,15.0,33.5410196625,6.0,24.4948974278,0.0,24.4948974278,1.0,22.7156333832,1.0,22.7156333832,4.0,24.4948974278,24.0,30.7896086367,0.0,24.4948974278,8.0,25.3771550809,21.0,31.3687742827,0.0,24.4948974278,8.0,24.9198715887,43.0,43.3589667774,958.0,170.496334272
Point Breeze,64,4565.0,314.0,1006.0,155.778689172,113.0,57.8878225536,56.0,36.2077339805,22.0,26.9443871706,16.0,24.269322199,45.0,32.8176781629,36.0,30.2158898594,13.0,27.5680975042,83.0,49.6286207748,49.0,36.7695526217,45.0,30.2654919008,53.0,31.1608729018,47.0,36.1801050302,46.0,36.537651813,33.0,30.4302481094,123.0,55.3172667438,226.0,71.8192174839,3559.0,250.665115244
