Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Duquesne Heights,25,46.0,64.7765389628,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,46.0,64.7765389628
East Allegheny,26,609.0,198.403628999,107.0,115.41230437,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,30.0,50.0099990002,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,12.0,20.591260282,0.0,14.1421356237,65.0,103.484298326,502.0,158.619040471
East Carnegie,27,156,110,60,50,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,26,0,10,19,26,0,10,0,10,22,23,0,10,96,64
East Hills,28,2409.0,403.804408099,664.0,260.710567488,50.0,55.8211429478,76.0,70.3562363974,31.0,38.6781592116,26.0,43.3704968844,25.0,29.478805946,12.0,19.8997487421,33.0,35.902646142,55.0,54.8543526076,17.0,31.3687742827,26.0,34.4673758792,26.0,28.7228132327,18.0,23.6854385646,53.0,45.1331363856,57.0,45.8257569495,144.0,85.2877482409,15.0,20.9045449604,1745.0,271.893361449
East Liberty,29,3089.0,519.904798977,876.0,303.155075828,76.0,63.5688603013,43.0,53.3853912602,33.0,47.9583152331,21.0,40.2616442785,65.0,67.9411510058,4.0,27.3678643668,8.0,29.9332590942,11.0,32.5729949498,28.0,34.3511280745,86.0,73.8376597679,72.0,71.4492827116,47.0,46.5725240887,63.0,66.7083203206,133.0,121.573023323,177.0,101.646446077,9.0,29.9332590943,2213.0,339.877919259
Elliott,30,659.0,307.117241457,316.0,185.14318783,47.0,59.6992462263,28.0,48.1248376621,38.0,45.265881191,13.0,24.4948974278,0.0,17.3205080757,1.0,16.7630546143,9.0,18.547236991,13.0,27.0,38.0,45.265881191,0.0,17.3205080757,70.0,41.9165838302,0.0,17.3205080757,39.0,46.2168800332,0.0,17.3205080757,20.0,28.0178514522,0.0,17.3205080757,343.0,136.890467163
Esplen,31,22,32,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,32
Fairywood,32,214,138,47,65,0,10,0,10,0,10,0,10,0,10,9,13,8,13,0,10,0,10,9,14,0,10,0,10,0,10,0,10,21,26,0,10,167,112
Fineview,33,860.0,285.394463857,250.0,126.150703526,6.0,14.1421356237,20.0,27.8567765544,28.0,32.5729949498,6.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,23.0,32.5729949498,6.0,13.4536240471,6.0,13.4536240471,28.0,42.201895692,9.0,18.0277563773,16.0,16.6433169771,36.0,50.0099990002,63.0,50.5667875191,3.0,11.6619037897,610.0,188.605408194
Friendship,34,231.0,120.88010589,37.0,28.2842712475,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,1.0,10.1980390272,1.0,10.1980390272,0.0,14.1421356237,22.0,31.1448230048,13.0,22.360679775,0.0,14.1421356237,194.0,109.416634933
